	Date	Day	IMDB	Place	Rating	Time	Title
2903	2007/07/20	Fri		C1GA Cinema 1 General Admit	Unclassified 18+	22:00	American Stag
2904	2007/07/21	Sat		C2GA Cinema 2 General Admit	M	11:00	Sketches of Frank Gehry
2905	2007/07/21	Sat		C1GA Cinema 1 General Admit	M	16:00	Shane Maloney Presents...Death in Brunswick
2906	2007/07/21	Sat		C1GA Cinema 1 General Admit	M	16:00	Shane Maloney Presents...Death in Brunswick
2907	2007/07/22	Sun		C1GA Cinema 1 General Admit	G	10:30	Happy Feet
2908	2007/07/22	Sun		C1GA Cinema 1 General Admit	G	13:00	Happy Feet
2909	2007/07/23	Mon		C2GA Cinema 2 General Admit	M	13:30	Sketches of Frank Gehry
2910	2007/07/28	Sat		C1GA Cinema 1 General Admit	PG	11:00	Riding Alone for Thousands of Miles
2911	2007/07/29	Sun		C1GA Cinema 1 General Admit	G	10:30	Happy Feet
2912	2007/07/29	Sun		C1GA Cinema 1 General Admit	G	13:00	Happy Feet
2913	2007/07/30	Mon		C1GA Cinema 1 General Admit	PG	13:30	Riding Alone for Thousands of Miles
2914	2007/08/04	Sat		C1GA Cinema 1 General Admit	PG	11:00	Riding Alone for Thousands of Miles
2915	2007/08/05	Sun		C1GA Cinema 1 General Admit	G	10:30	Toy Story + Tin Toy
2916	2007/08/05	Sun		C1GA Cinema 1 General Admit	G	13:00	Toy Story 2 + Luxo Jr.
2917	2007/08/06	Mon		C1GA Cinema 1 General Admit	PG	13:30	Riding Alone for Thousands of Miles
2918	2007/08/11	Sat		C1GA Cinema 1 General Admit	G	11:00	Wordplay
2919	2007/08/12	Sun		C1GA Cinema 1 General Admit	G	10:30	Toy Story + Tin Toy
2920	2007/08/12	Sun		C1GA Cinema 1 General Admit	G	13:00	Toy Story 2 + Luxo Jr.
2921	2007/08/13	Mon		C2GA Cinema 2 General Admit	G	13:30	Wordplay
2922	2007/08/17	Fri		C2GA Cinema 2 General Admit	PG	19:00	Kid Galahad
2923	2007/08/17	Fri		C2GA Cinema 2 General Admit	G	22:00	Elvis: That's The Way It Is
2924	2007/08/18	Sat		C2GA Cinema 2 General Admit	G	11:00	Wordplay
2925	2007/08/18	Sat		C1GA Cinema 1 General Admit	M	16:00	Love Serenade
2926	2007/08/19	Sun		C2GA Cinema 2 General Admit	G	10:30	A Bug's Life + Geri's Game
2927	2007/08/19	Sun		C2GA Cinema 2 General Admit	G	13:00	A Bug's Life + Geri's Game
2928	2007/08/20	Mon		C2GA Cinema 2 General Admit	G	13:30	Wordplay
2929	2007/08/20	Mon		C1GA Cinema 1 General Admit	15+	19:00	Stone Reader
2930	2007/08/23	Thu		C1GA Cinema 1 General Admit	G	18:30	Toy Story + Tin Toy
2931	2007/08/23	Thu		C1GA Cinema 1 General Admit	G	20:30	Toy Story 2 + Luxo Jr.
2932	2007/08/24	Fri		C1GA Cinema 1 General Admit	M	22:00	The Adventures of Buckaroo Banzai...
2933	2007/08/25	Sat		C2GA Cinema 2 General Admit	G	11:00	Miss Potter
2934	2007/08/25	Sat		C1GA Cinema 1 General Admit	18+	16:00	Naked on the Inside
2935	2007/08/26	Sun		C2GA Cinema 2 General Admit	G	10:30	Monsters Inc. + For The Birds
2936	2007/08/26	Sun		C2GA Cinema 2 General Admit	G	13:00	Monsters Inc. + For The Birds
2937	2007/08/27	Mon		C2GA Cinema 2 General Admit	G	13:30	Miss Potter
2938	2007/08/30	Thu		C2GA Cinema 2 General Admit	G	18:30	A Bug's Life + Geri's Game
2939	2007/08/30	Thu		C1GA Cinema 1 General Admit	15+	19:00	Stone Reader
2940	2007/08/31	Fri		C2GA Cinema 2 General Admit	M	19:00	Waitress
2941	2007/08/31	Fri		C2GA Cinema 2 General Admit	M	21:15	Trust
2942	2007/08/31	Fri		C1GA Cinema 1 General Admit	18+	22:00	Demon Lover Diary
2943	2007/09/01	Sat		C2GA Cinema 2 General Admit	G	11:00	Miss Potter
2944	2007/09/01	Sat		C1GA Cinema 1 General Admit	PG	16:00	Cane Toads: An Unnatural History
2945	2007/09/01	Sat		C1GA Cinema 1 General Admit	15+	19:00	Stone Reader
2946	2007/09/02	Sun		C2GA Cinema 2 General Admit	G	10:30	Finding Nemo + Knick Knack
2947	2007/09/02	Sun		C2GA Cinema 2 General Admit	G	13:00	Finding Nemo + Knick Knack
2948	2007/09/02	Sun		C1GA Cinema 1 General Admit	15+	17:30	Stone Reader
2949	2007/09/03	Mon		C2GA Cinema 2 General Admit	G	13:30	Miss Potter
2950	2007/09/06	Thu		C1GA Cinema 1 General Admit	G	18:30	Monsters Inc. + For the Birds
2951	2007/09/07	Fri		C1GA Cinema 1 General Admit	18+	19:00	Tonight Let's All Make Love in London
2952	2007/09/07	Fri		C1GA Cinema 1 General Admit	18+	22:00	This Filthy World
2953	2007/09/08	Sat		C2GA Cinema 2 General Admit	M	11:00	The White Masai
2954	2007/09/08	Sat		C1GA Cinema 1 General Admit	18+	16:00	Digital Projections
2955	2007/09/08	Sat		C2GA Cinema 2 General Admit	18+	17:00	Benefit of the Doubt
2956	2007/09/08	Sat		C1GA Cinema 1 General Admit	18+	19:00	Peter Whitehead: Pop Films
2957	2007/09/08	Sat		C1GA Cinema 1 General Admit	18+	21:15	Daddy
2958	2007/09/09	Sun		C2GA Cinema 2 General Admit	PG	10:30	The Incredibles + Boundin'
2959	2007/09/09	Sun		C2GA Cinema 2 General Admit	PG	13:00	The Incredibles + Boundin'
